Price,Dividend Yield,Price/Earnings,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book
40.53,0.49,13.11,13.588,28.67,46.28,14.084,1.416,2.09,3.0
8.98,1.35,128.41,12.75,7.97,12.93,9.581,2.461,0.39,0.69
621.7,0.43,14.59,119.225,354.24,644.0,582.8,55.816,3.91,5.21
38.69,1.31,14.53,11.621,34.74,42.32,9.754,1.388,0.12,3.33
66.11,3.01,21.37,16.178,48.22,67.45,104.0,11.63,2.62,4.06
72.74,2.43,12.24,75.98,56.9,77.42,24.666,2.86,1.47,0.96
61.63,2.19,15.88,6.422,47.4,65.89,39.123,4.411,1.41,9.58
32.64,0.0,21.09,12.348,22.67,34.78,16.051,1.492,3.7,2.64
40.43,2.73,17.55,13.157,29.8,40.83,12.062,1.029,4.3,3.07
25.94,2.59,14.42,27.487,23.69,33.98,17.146,2.89,0.2,0.96
57.61,2.7,20.27,12.583,45.17,57.99,27.993,2.279,2.6,4.54
35.01,0.0,27.67,8.9,22.99,42.69,8.045,0.4899,3.55,3.95
34.7,4.6,70.7,31.142,27.22,35.3,8.418,2.26,1.2,1.11
43.55,4.33,10.55,30.942,35.65,43.96,21.117,4.734,1.41,1.4
11.78,0.0,64.26,8.169,9.0,14.01,8.83,4.894,0.5,1.44
37.73,1.8,7.4,30.688,33.43,51.14,12.609,3.677,0.36,1.22
45.86,2.82,8.33,21.337,31.25,50.33,30.475,4.177,1.26,2.14
85.61,0.23,25.07,17.985,71.89,97.09,25.888,1.755,4.6,4.75
32.6,0.0,3.1,57.683,19.18,35.05,58.485,18.051,0.89,0.56
26.04,2.3,6.569596117178021,5.419,20.08,28.3,3.79,0.5769,3.47,4.82
35.85,2.07,5.82,61.093,32.0,44.54,2.907,1.075,0.35,0.59
35.97,0.0,35.12,12.442,18.25,39.14,6.403,0.5012,5.13,2.91
37.98,2.26,9.29,40.072,22.27,38.38,18.417,3.708,0.56,0.95
37.12,0.92,19.73,9.93,29.67,41.63,11.875,0.6752,6.45,3.71
103.42,0.0,102.71,9.072,49.5,109.96,19.966,0.3328,21.04,11.42
11.95,2.78,11.74,6.79,9.7,13.94,15.316,2.005,1.57,1.75
