Symbol,Name,Price,Dividend Yield,Price/Earnings,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,MorningStar Rating
A,Agilent Technologies Inc,37.63,1.21,27.29,12.33,33.12,43.59,12.34,0.819,3.04,3.04,3
AA,Alcoa Inc,8.87,1.35,,9.15,6.14,15.32,11.62,3.25,0.51,0.96,2
AAP,Advance Auto Parts,150.08,0.16,23.45,33.59,131.59,201.24,11,1.22,1.13,4.48,4
AAPL,Apple Inc.,96.76,2.15,10.3,23.13,92,134.54,536.49,82.79,2.27,4.15,4
ABBV,AbbVie,56.2,4.12,17.96,2.45,45.45,71.6,90.55,9.47,3.87,22.4,3
ABC,AmerisourceBergen Corp,87.6,1.55,48.61,6.3,80.5,120.68,18,1.64,0.13,13.82,4
ABT,Abbott Laboratories,39.63,2.66,13.54,14.15,36,51.74,59.12,4.81,2.87,2.77,4
ACN,Accenture plc,100.91,2.19,21.26,9.43,86.4,109.86,63.36,5.2,2.01,10.55,2
ADBE,Adobe Systems Inc,86.68,0,69.9,14.06,71.27,96.42,43.2,1.24,8.67,5.93,3
ADI,Analog Devices Inc.,52.99,3.19,24.65,16.11,47.24,68.97,16.43,1.27,4.68,3.22,3
ADM,Archer-Daniels-Midland Co,34.62,3.55,11.62,30.08,29.86,53.31,20.56,2.89,0.3,1.13,3
ADP,Automatic Data Processing,85.92,2.45,26.68,9.17,64.29,90.67,39.3,2.33,3.47,9.3,2
ADSK,Autodesk Inc,49.42,0,,7.69,41.6,65.78,11.14,0.1707,4.4,6.39,3
ADT,ADT Corp,40.29,2.2,23.67,17.58,24.22,42.88,6.66,1.82,1.85,2.28,3
AEE,Ameren Corp,48.13,3.68,18.59,28.63,37.26,48.22,11.68,2.2,1.89,1.66,2
AEP,American Electric Power,63.89,3.56,17.72,36.06,52.29,63.9,31.36,5.28,1.79,1.75,3
AES,AES Corp,9.97,4.49,11.84,5.29,8.22,14.02,6.71,3.86,0.43,1.9,3
AET,Aetna Inc,109.4,0.94,16.14,45.51,92.42,134.4,38.15,5.43,0.62,2.34,1
AGN,Allergan plc,296.34,0.1,27.24,184.12,237.5,340.34,116.79,7.64,5.72,1.55,5
AIG,American International Group Inc.,51.37,2.46,31.13,75.1,50.23,64.93,61.33,10.41,1.04,0.68,4
AKAM,Akamai Technologies Inc,54.96,,30.88,17.63,39.43,78.44,9.73,0.75286,4.41,3.11,2
ALL,Allstate Corp,64.41,2.05,12.75,47.98,54.12,72.51,24.54,3.98,0.68,1.33,3
ALXN,Alexion Pharmaceuticals,140.54,,209.76,36.6,130.51,208.88,31.66,0.86215,12.28,3.88,4
AMAT,Applied Materials Inc,18.89,2.15,17.31,6.26,14.25,25.64,21.65,2,2.24,2.99,3
AME,Ametek,46.39,0.78,18.93,13.72,42.82,57.67,11,1.05,2.71,3.31,2
AMG,Affiliated Managers Group Inc,130.3,,14.03,52.64,115.97,230.63,7.02,0.9682,2.8,2.45,3
AMGN,Amgen Inc,146.75,2.69,16.2,37.24,130.09,181.81,110.37,10.7,5.11,3.95,4
AMP,Ameriprise Financial,84.37,3.17,9.95,42.21,76,137.07,14.43,3.48,1.17,1.98,3
AMT,American Tower Corp A,89.42,2.2,66.93,15.63,83.07,104.12,37.88,2.82,8.31,5.7,3
AMZN,Amazon.com Inc,555.15,,444.12,28.42,365.65,696.44,261.39,7.88,2.44,19.5,3
